Name	Age	Nationality	Club	Value	Wage
Paulinho	29.0	Brazil	Guangzhou Evergrande Taobao FC	37000000.0	235000.0
W. Szczęsny	28.0	Poland	Juventus	32000000.0	125000.0
A. Sánchez	29.0	Chile	Manchester United	37500000.0	215000.0
Y. Brahimi	28.0		FC Porto	39000000.0	28000.0
J. Boateng	29.0	Germany		30000000.0	115000.0
	31.0	Chile	FC Barcelona	26000000.0	205000.0
I. Perišić	29.0	Croatia	Inter	37500000.0	110000.0
E. Džeko	32.0	Bosnia Herzegovina	Roma	30500000.0	115000.0
S. Khedira	31.0	Germany	Juventus	33000000.0	160000.0
Diego Costa	29.0	Spain	Atlético Madrid	38500000.0	100000.0
R. Nainggolan	30.0	Belgium	Inter	35500000.0	105000.0
	35.0	Brazil	FC Schalke 04	9000000.0	38000.0
B. Matuidi	31.0	France	Juventus	26000000.0	145000.0
Miranda	33.0	Brazil	Inter		96000.0
	30.0	France	Real Madrid	37000000.0	
Filipe Luís	32.0	Brazil	Atlético Madrid	21500000.0	81000.0
V. Kompany	32.0	Belgium	Manchester City	22000000.0	170000.0
Pepe	35.0	Portugal	Beşiktaş JK	9000000.0	
Z. Ibrahimović	36.0	Sweden	LA Galaxy	14000000.0	15000.0
D. Sánchez	22.0	Colombia	Tottenham Hotspur	34000000.0	105000.0
J. Giménez	23.0	Uruguay	Atlético Madrid	34000000.0	
Alex Telles	25.0	Brazil	FC Porto	32000000.0	22000.0
A. Laporte	24.0	France	Manchester City	34000000.0	135000.0
Bruno Fernandes		Portugal	Sporting CP	40500000.0	22000.0
N. Süle	22.0	Germany	FC Bayern München	36500000.0	84000.0
A. Martial	22.0	France	Manchester United	42500000.0	165000.0
D. Alli	22.0	England		42500000.0	115000.0
Fabinho	24.0	Brazil	Liverpool		120000.0
Marquinhos	24.0	Brazil	Paris Saint-Germain	35500000.0	90000.0
Jorginho	26.0	Italy	Chelsea	38000000.0	155000.0
F. Thauvin	25.0	France	Olympique de Marseille	39000000.0	
M. Depay	24.0	Netherlands	Olympique Lyonnais	42000000.0	93000.0
H. Son	25.0	Korea Republic	Tottenham Hotspur	37000000.0	125000.0
A. Lopes	27.0	Portugal	Olympique Lyonnais	25000000.0	72000.0
Iago Aspas	30.0	Spain	RC Celta	30000000.0	45000.0
B. Leno	26.0	Germany	Arsenal	27000000.0	115000.0
N. Matić	29.0	Serbia	Manchester United	24000000.0	165000.0
L. Hrádecký	28.0	Finland	Bayer 04 Leverkusen	22000000.0	74000.0
Illarramendi	28.0	Spain	Real Sociedad	31000000.0	51000.0
I. Gündoğan	27.0	Germany	Manchester City	32000000.0	175000.0
M. Mandžukić	32.0	Croatia	Juventus	25000000.0	160000.0
Sergio Asenjo	29.0	Spain	Villarreal CF	24000000.0	42000.0
E. Banega	30.0	Argentina	Sevilla FC	29000000.0	31000.0
A. Witsel	29.0	Belgium	Borussia Dortmund	24000000.0	77000.0
Sokratis	30.0	Greece	Arsenal	23000000.0	140000.0
S. Ruffier	31.0	France	AS Saint-Étienne		41000.0
Falcao	32.0	Colombia	AS Monaco	25000000.0	115000.0
	31.0	Denmark	Leicester City	19000000.0	
Raúl Albiol	32.0	Spain	Napoli	18000000.0	88000.0
A. Gómez	30.0	Argentina	Atalanta	30000000.0	53000.0
O. Dembélé	21.0	France	FC Barcelona	40000000.0	155000.0
Gabriel Jesus	21.0	Brazil	Manchester City	41000000.0	130000.0
Ronaldo Cabrais	26.0	Brazil	Grêmio	28000000.0	51000.0
N. Keïta	23.0		Liverpool	34000000.0	120000.0
C. Tolisso	23.0		FC Bayern München	34000000.0	85000.0
T. Lemar	22.0	France	Atlético Madrid	35500000.0	
K. Coman	22.0	France	FC Bayern München	34000000.0	85000.0
Anderson Talisca	24.0	Brazil	Guangzhou Evergrande Taobao FC	36500000.0	18000.0
T. Werner	22.0	Germany	RB Leipzig	34500000.0	70000.0
A. Rabiot	23.0	France	Paris Saint-Germain	33000000.0	91000.0
L. Goretzka	23.0	Germany	FC Bayern München	34000000.0	85000.0
H. Ziyech	25.0	Morocco	Ajax	32500000.0	28000.0
Lucas Vázquez	27.0	Spain	Real Madrid	27000000.0	205000.0
Y. Carrasco	24.0	Belgium	Dalian YiFang FC	33000000.0	20000.0
Gerard Moreno	26.0	Spain	Villarreal CF	32000000.0	53000.0
Felipe	29.0	Brazil	FC Porto	20000000.0	22000.0
M. Kovačić	24.0	Croatia	Chelsea	35000000.0	165000.0
Manu Trigueros	26.0	Spain	Villarreal CF	30000000.0	49000.0
S. Gnabry	22.0	Germany	FC Bayern München	34500000.0	85000.0
J. Pickford	24.0		Everton	25000000.0	78000.0
S. Savić	27.0	Montenegro	Atlético Madrid	26000000.0	67000.0
Suso	24.0	Spain	Milan	33000000.0	115000.0
J. Draxler	24.0	Germany	Paris Saint-Germain	32500000.0	91000.0
Lucas Moura	25.0	Brazil	Tottenham Hotspur	31000000.0	115000.0
Danilo Pereira	26.0	Portugal	FC Porto	27000000.0	21000.0
T. Horn		Germany	1. FC Köln	24000000.0	25000.0
F. Acerbi	30.0	Italy	Lazio	19000000.0	64000.0
Neto	28.0	Brazil	Valencia CF		41000.0
O. Baumann	28.0	Germany	TSG 1899 Hoffenheim	21000000.0	
I. Gueye	28.0	Senegal	Everton	21000000.0	125000.0
Marcos Alonso	27.0	Spain	Chelsea	24000000.0	130000.0
D. Subašić	33.0	Croatia	AS Monaco	13000000.0	70000.0
K. Glik	30.0	Poland	AS Monaco	19000000.0	86000.0
K. Strootman	28.0	Netherlands	Olympique de Marseille	21000000.0	66000.0
B. Dost	29.0	Netherlands	Sporting CP	26000000.0	26000.0
Luiz Gustavo	30.0	Brazil	Olympique de Marseille		63000.0
Giuliano	28.0	Brazil	Al Nassr	26000000.0	64000.0
R. Fährmann	29.0	Germany	FC Schalke 04	20000000.0	38000.0
Y. Sommer	29.0		Borussia Mönchengladbach	20000000.0	35000.0
Javi Martínez	29.0	Spain	FC Bayern München	20000000.0	94000.0
L. Bender	29.0	Germany	Bayer 04 Leverkusen	20000000.0	82000.0
S. Mandanda	33.0	France	Olympique de Marseille	13000000.0	51000.0
Cesc Fàbregas	31.0	Spain	Chelsea	22000000.0	140000.0
M. Dembélé	30.0	Belgium		24000000.0	120000.0
R. Jarstein	33.0	Norway	Hertha BSC	13000000.0	33000.0
D. De Rossi	34.0	Italy	Roma	8000000.0	80000.0
Pepe Reina	35.0	Spain	Milan	6000000.0	56000.0
M. de Ligt	18.0	Netherlands	Ajax		11000.0
Rodri	22.0	Spain	Atlético Madrid	29000000.0	59000.0
Arthur	21.0	Brazil	FC Barcelona	32500000.0	125000.0
G. Donnarumma	19.0	Italy	Milan		23000.0
Raphaelito Anjos	30.0	Brazil	Grêmio	14000000.0	32000.0
Gonçalo Guedes	21.0	Portugal	Valencia CF	29000000.0	36000.0
L. Torreira	22.0	Uruguay	Arsenal	25000000.0	98000.0
C. Lenglet	23.0	France	FC Barcelona	26000000.0	135000.0
	27.0	Croatia	TSG 1899 Hoffenheim	26000000.0	54000.0
Dani García	28.0	Spain	Athletic Club de Bilbao	20000000.0	33000.0
Samu Castillejo	23.0	Spain	Milan	29000000.0	94000.0
J. Vardy	31.0	England	Leicester City	20000000.0	96000.0
A. Belotti	24.0	Italy	Torino	30000000.0	58000.0
E. Forsberg	26.0	Sweden	RB Leipzig	26000000.0	67000.0
T. Meunier	26.0	Belgium	Paris Saint-Germain	21000000.0	87000.0
Gabriel Paulista	27.0	Brazil	Valencia CF	21000000.0	44000.0
J. Cillessen	29.0	Netherlands	FC Barcelona	18000000.0	135000.0
C. Bakambu	27.0	DR Congo	Beijing Sinobo Guoan FC	26000000.0	33000.0
Pablo Sarabia	26.0	Spain	Sevilla FC	26000000.0	26000.0
Bartra	27.0	Spain	Real Betis		32000.0
S. Coates	27.0	Uruguay	Sporting CP	21000000.0	19000.0
M. Götze	26.0	Germany	Borussia Dortmund	27000000.0	67000.0
Pedro	30.0	Spain	Chelsea	21000000.0	140000.0
G. Bonaventura	28.0	Italy	Milan	22000000.0	115000.0
Taison	30.0	Brazil	Shakhtar Donetsk	21000000.0	1000.0
S. Nzonzi	29.0	France	Roma	17000000.0	77000.0
Marlos		Ukraine	Shakhtar Donetsk	21000000.0	1000.0
A. Ramsey	27.0	Wales	Arsenal	25000000.0	130000.0
S. Giovinco	31.0	Italy	Toronto FC	20000000.0	15000.0
M. Arnautović	29.0	Austria	West Ham United	22000000.0	120000.0
N. Gaitán	30.0	Argentina	Dalian YiFang FC	21000000.0	
J. Henderson	28.0	England	Liverpool	18000000.0	125000.0
M. Parolo	33.0	Italy	Lazio	9000000.0	59000.0
L. Fejsa	29.0	Serbia	SL Benfica	17000000.0	18000.0
G. Wijnaldum	27.0	Netherlands	Liverpool	23000000.0	130000.0
F. Fazio	31.0	Argentina	Roma	15000000.0	73000.0
O. Giroud	31.0	France	Chelsea	20000000.0	140000.0
Marcano	31.0	Spain	Roma	15000000.0	73000.0
A. Guardado	31.0	Mexico	Real Betis	19000000.0	35000.0
E. Garay	31.0	Argentina	Valencia CF	15000000.0	44000.0
	36.0	Spain	New York City FC		12000.0
Aduriz	37.0	Spain	Athletic Club de Bilbao	8000000.0	29000.0
P. Čech	36.0	Czech Republic	Arsenal	3000000.0	60000.0
M. Rashford	20.0	England	Manchester United	27000000.0	110000.0
Laure Santeiro	30.0	Brazil	Fluminense	17000000.0	40000.0
M. Akanji	22.0	Switzerland	Borussia Dortmund	21000000.0	49000.0
F. de Jong	21.0	Netherlands	Ajax	26000000.0	19000.0
Nélson Semedo	24.0	Portugal	FC Barcelona	20000000.0	125000.0
Pablo Fornals	22.0	Spain	Villarreal CF	24000000.0	36000.0
Fabián	22.0	Spain	Napoli	26000000.0	64000.0
E. Bailly	24.0	Ivory Coast	Manchester United	21000000.0	105000.0
Dani Ceballos	21.0	Spain	Real Madrid	25000000.0	120000.0
H. Lozano	22.0	Mexico	PSV	24000000.0	22000.0
Morales	30.0	Spain	Levante UD	17000000.0	33000.0
T. Strakosha	23.0	Albania		17000000.0	36000.0
E. Hysaj		Albania	Napoli	20000000.0	58000.0
Ricardo Pereira	24.0	Portugal	Leicester City	19000000.0	64000.0
R. Guerreiro	24.0	Portugal	Borussia Dortmund	24000000.0	54000.0
C. Bacca	31.0	Colombia	Villarreal CF	16000000.0	
A. Plea	25.0	France	Borussia Mönchengladbach	22000000.0	40000.0
B. Mendy	23.0	France	Manchester City	20000000.0	105000.0
C. Kramer	27.0	Germany	Borussia Mönchengladbach	17000000.0	35000.0
S. Vrsaljko	26.0	Croatia	Inter	18000000.0	57000.0
K. Bellarabi	28.0	Germany	Bayer 04 Leverkusen	18000000.0	76000.0
S. Zaza	27.0	Italy	Torino	21000000.0	
B. Lecomte	27.0	France	Montpellier HSC	15000000.0	
J. Iličić	30.0	Slovenia	Atalanta	17000000.0	41000.0
K. Volland	25.0	Germany	Bayer 04 Leverkusen	22000000.0	76000.0
Vitolo	28.0	Spain		18000000.0	65000.0
G. Xhaka	25.0	Switzerland	Arsenal	22000000.0	115000.0
C. Aránguiz	29.0	Chile	Bayer 04 Leverkusen	17000000.0	76000.0
D. Lovren	28.0	Croatia	Liverpool	16000000.0	115000.0
G. Medel			Beşiktaş JK	13000000.0	56000.0
X. Shaqiri	26.0	Switzerland	Liverpool	19000000.0	130000.0
S. El Shaarawy	25.0	Italy	Roma	21000000.0	77000.0
C. Smalling	28.0	England	Manchester United		130000.0
M. Lanzini	25.0		West Ham United	23000000.0	90000.0
L. Stindl		Germany	Borussia Mönchengladbach	18000000.0	43000.0
O. Toprak	28.0		Borussia Dortmund	16000000.0	59000.0
F. Muslera	32.0	Uruguay	Galatasaray SK	10000000.0	52000.0
B. Höwedes	30.0	Germany	Lokomotiv Moscow	13000000.0	1000.0
S. Kjær	29.0	Denmark		14000000.0	23000.0
S. Bender	29.0	Germany	Bayer 04 Leverkusen	14000000.0	69000.0
M. Valbuena	33.0	France	Fenerbahçe SK	11000000.0	
K. Boateng	31.0	Ghana	Sassuolo	15000000.0	65000.0
L. Piszczek	33.0	Poland	Borussia Dortmund	7000000.0	57000.0
D. Wass	29.0	Denmark		17000000.0	46000.0
E. Lamela	26.0	Argentina	Tottenham Hotspur	21000000.0	105000.0
A. Valencia	32.0	Ecuador	Manchester United	10000000.0	120000.0
L. Fabiański	33.0	Poland	West Ham United	9000000.0	70000.0
João Moutinho	31.0	Portugal	Wolverhampton Wanderers	15000000.0	85000.0
Borja Valero	33.0	Spain	Inter	11000000.0	74000.0
F. Quagliarella	35.0	Italy	Sampdoria	8000000.0	
B. Gomis	32.0	France	Al Hilal	14000000.0	56000.0
Manuel Fernandes	32.0	Portugal	Lokomotiv Moscow		1000.0
	33.0	Brazil	Borussia Mönchengladbach	11000000.0	41000.0
Joaquín	36.0	Spain	Real Betis		24000.0
K. Havertz	19.0	Germany	Bayer 04 Leverkusen	22000000.0	32000.0
Carlos Soler	21.0	Spain	Valencia CF	21000000.0	31000.0
Oyarzabal	21.0	Spain	Real Sociedad	21000000.0	29000.0
M. Marega	27.0	Mali	FC Porto	16000000.0	19000.0
W. Ndidi	21.0	Nigeria	Leicester City	17000000.0	50000.0
	22.0	Argentina	Real Betis	20000000.0	72000.0
Mariano	24.0	Dominican Republic	Real Madrid	20000000.0	140000.0
Raúl	28.0	Brazil	SC Braga	12000000.0	19000.0
T. Bakayoko	23.0	France	Milan	17000000.0	85000.0
M. Dahoud	22.0	Germany	Borussia Dortmund	20000000.0	50000.0
K. Baldé	23.0	Senegal	Inter	20000000.0	65000.0
G. Rulli	26.0		Real Sociedad	14000000.0	26000.0
F. Armani	31.0	Argentina	River Plate	9000000.0	22000.0
Rony Lopes	22.0	Portugal	AS Monaco	20000000.0	65000.0
Santi Mina	22.0		Valencia CF	20000000.0	40000.0
N. Tagliafico	25.0	Argentina	Ajax	15000000.0	20000.0
Pacheco	26.0	Spain	Deportivo Alavés	13000000.0	
T. Stepanenko	28.0	Ukraine		12000000.0	1000.0
Z. Feddal	28.0	Morocco	Real Betis	12000000.0	29000.0
S. Haller	24.0	France	Eintracht Frankfurt	19000000.0	41000.0
T. Inui	30.0	Japan	Real Betis	14000000.0	30000.0
N. Pope	26.0	England	Burnley	13000000.0	48000.0
P. Kadeřábek	26.0	Czech Republic	TSG 1899 Hoffenheim		39000.0
J. Butland	25.0	England	Stoke City	14000000.0	39000.0
J. Murillo	26.0	Colombia	Valencia CF	16000000.0	
L. Digne	24.0	France	Everton	16000000.0	79000.0
Cristian Tello	26.0	Spain	Real Betis	16000000.0	30000.0
V. Aboubakar	26.0	Cameroon	FC Porto	18000000.0	19000.0
J. Matip	26.0	Cameroon	Liverpool	15000000.0	99000.0
Y. Rakitskyi	28.0	Ukraine	Shakhtar Donetsk	12000000.0	1000.0
A. Yarmolenko	28.0	Ukraine	West Ham United	15000000.0	92000.0
André Almeida	27.0	Portugal	SL Benfica	12000000.0	15000.0
D. Didavi	28.0	Germany	VfB Stuttgart	15000000.0	44000.0
Mario Gaspar	27.0	Spain	Villarreal CF	12000000.0	35000.0
D. Blind	28.0	Netherlands		12000000.0	22000.0
Iago Falqué	28.0	Spain	Torino	15000000.0	59000.0
L. de Jong	27.0		PSV	16000000.0	23000.0
Guaita	31.0	Spain	Crystal Palace	9000000.0	48000.0
Susaeta	30.0	Spain	Athletic Club de Bilbao	14000000.0	33000.0
S. Rudy	28.0	Germany	FC Schalke 04	12000000.0	37000.0
N. Nkoulou	28.0	Cameroon	Torino	12000000.0	
R. Boudebouz	28.0	Algeria	Real Betis	15000000.0	31000.0
S. Ulreich	29.0	Germany	FC Bayern München	10000000.0	61000.0
		Spain	Villarreal CF	7000000.0	39000.0
Marcelo	31.0	Brazil		43000000.0	64000.0
S. Coleman	29.0	Republic of Ireland	Everton	11000000.0	97000.0
Nacho Monreal	32.0	Spain	Arsenal	8000000.0	99000.0
A. Fernández	32.0	Argentina	Beijing Renhe FC	11000000.0	20000.0
I. Piatti	33.0	Argentina	Montreal Impact	9000000.0	13000.0
V. Birsa	31.0	Slovenia	Chievo Verona	13000000.0	23000.0
S. Romero	31.0	Argentina	Manchester United	9000000.0	91000.0
D. Criscito	31.0	Italy	Genoa	10000000.0	21000.0
Raúl García	31.0	Spain	Athletic Club de Bilbao	13000000.0	30000.0
M. Škrtel	33.0	Slovakia	Fenerbahçe SK		
S. Radu	31.0	Romania	Lazio		51000.0
	33.0	France	Paris Saint-Germain	6000000.0	75000.0
A. Gignac	32.0	France	Tigres U.A.N.L.	12000000.0	70000.0
M. Gómez	32.0	Germany		20500000.0	46000.0
Diego López	36.0	Spain	RCD Espanyol	2000000.0	17000.0
A. Mirante	34.0	Italy	Roma	6000000.0	51000.0
B. Schweinsteiger	33.0	Germany		6000000.0	11000.0
Moyá	34.0	Spain	Real Sociedad	6000000.0	26000.0
W. Rooney	32.0	England	DC United	12000000.0	13000.0
Fernando Torres	34.0	Spain	Sagan Tosu	8000000.0	
S. Sorrentino	39.0	Italy	Chievo Verona	1000000.0	10000.0
V. Tsygankov	20.0	Ukraine	Dynamo Kyiv	18000000.0	1000.0
Rúben Dias	21.0	Portugal	SL Benfica	15000000.0	10000.0
David Neres	21.0	Brazil		18000000.0	18000.0
Raphinha	21.0	Brazil	Sporting CP	18000000.0	13000.0
A. Harit	21.0	Morocco	FC Schalke 04	18000000.0	27000.0
Richarlison	21.0	Brazil	Everton		79000.0
L. Martínez	20.0	Argentina	Inter	18000000.0	54000.0
Luimo Boas Santos	30.0	Brazil		12000000.0	26000.0
Gabri Prestão	26.0	Brazil		9000000.0	24000.0
André Silva	22.0	Portugal	Sevilla FC	19000000.0	84000.0
C. Pulisic	19.0	United States	Borussia Dortmund	18000000.0	26000.0
M. Dmitrović	26.0	Serbia	SD Eibar	10000000.0	21000.0
Marcos Llorente	23.0	Spain	Real Madrid	16000000.0	110000.0
S. Bergwijn	20.0	Netherlands	PSV	18000000.0	17000.0
A. Diallo	22.0	France	Borussia Dortmund	15000000.0	43000.0
A. Golovin	22.0	Russia	AS Monaco	17000000.0	61000.0
M. Campaña	29.0	Uruguay	Independiente	10000000.0	21000.0
K. Toko-Ekambi	25.0	Cameroon	Villarreal CF	15000000.0	38000.0
Granell	29.0	Spain	Girona FC	12000000.0	37000.0
F. Cervi	24.0	Argentina	SL Benfica	17000000.0	15000.0
A. Rebić	24.0	Croatia	Eintracht Frankfurt	16000000.0	39000.0
M. Philipp	24.0	Germany	Borussia Dortmund	17000000.0	53000.0
A. Saint-Maximin	21.0	France	OGC Nice	18000000.0	31000.0
L. Alario	25.0	Argentina	Bayer 04 Leverkusen		67000.0
D. Benedetto	28.0	Argentina	Boca Juniors	13000000.0	32000.0
Ricardo Horta	23.0	Portugal		17000000.0	16000.0
R. Zobnin	24.0	Russia	Spartak Moscow	15000000.0	1000.0
M. Meyer	22.0		Crystal Palace	16000000.0	53000.0
J. Hofmann	25.0	Germany	Borussia Mönchengladbach	15000000.0	32000.0
J. Hector	28.0	Germany	1. FC Köln	10000000.0	26000.0
S. Kolašinac	25.0	Bosnia Herzegovina	Arsenal		89000.0
G. Pizarro	28.0	Argentina	Tigres U.A.N.L.	10000000.0	58000.0
K. Rekik	23.0	Netherlands	Hertha BSC	14000000.0	26000.0
W. Orban	25.0	Hungary	RB Leipzig	13000000.0	48000.0
Iñigo Martínez	27.0	Spain	Athletic Club de Bilbao	12000000.0	
K. Zouma	23.0	France	Everton	14000000.0	80000.0
Roque Mesa		Spain		10000000.0	
J. Brooks	25.0	United States	VfL Wolfsburg		44000.0
D. Klaassen	25.0	Netherlands	SV Werder Bremen	15000000.0	32000.0
L. Bittencourt	24.0	Germany	TSG 1899 Hoffenheim	16000000.0	35000.0
Sergi Darder	24.0	Spain	RCD Espanyol	16000000.0	29000.0
J. Roussillon	25.0	France	VfL Wolfsburg	14000000.0	44000.0
D. Demme	26.0	Germany	RB Leipzig	12000000.0	50000.0
J. Gouweleeuw	26.0	Netherlands	FC Augsburg	12000000.0	28000.0
M. Rojo	28.0	Argentina	Manchester United	10000000.0	115000.0
L. Kurzawa	25.0	France	Paris Saint-Germain	13000000.0	68000.0
G. Ramírez	27.0	Uruguay	Sampdoria	13000000.0	41000.0
David López		Spain	RCD Espanyol	10000000.0	32000.0
C. Tătăruşanu	32.0	Romania	FC Nantes	7000000.0	23000.0
A. Mandi	26.0	Algeria	Real Betis		
D. Sidibé	25.0	France	AS Monaco	12000000.0	61000.0
S. Berghuis	26.0	Netherlands	Feyenoord	15000000.0	20000.0
Nolito	31.0	Spain	Sevilla FC	11000000.0	21000.0
M. Gregoritsch	24.0	Austria	FC Augsburg	16000000.0	27000.0
Danilo	26.0	Brazil	Manchester City	12000000.0	110000.0
R. Barkley		England	Chelsea	16000000.0	89000.0
J. Guilavogui	27.0	France	VfL Wolfsburg	12000000.0	46000.0
D. Caligiuri	30.0	Italy	FC Schalke 04	9000000.0	33000.0
P. Jones	26.0	England	Manchester United	12000000.0	
Borja García	27.0	Spain	Girona FC	13000000.0	35000.0
Jaume Costa	30.0	Spain	Villarreal CF	9000000.0	34000.0
Escudero	28.0	Spain	Sevilla FC	10000000.0	20000.0
	28.0	Spain	SD Eibar	13000000.0	32000.0
Elkeson	28.0	Brazil	Shanghai SIPG FC	13000000.0	25000.0
J. Guðmundsson		Iceland	Burnley	13000000.0	61000.0
M. Hitz	30.0	Switzerland	Borussia Dortmund	8000000.0	41000.0
B. Mee	28.0	England	Burnley	10000000.0	58000.0
J. Wilshere	26.0	England	West Ham United	15000000.0	83000.0
B. Hübner	28.0	Germany	TSG 1899 Hoffenheim		39000.0
Souza	29.0	Brazil	Al Ahli	10000000.0	44000.0
	27.0	France	Valencia CF	12000000.0	36000.0
Alex Teixeira	28.0	Brazil	Jiangsu Suning FC	13000000.0	
